Year,Ceremony,Award,Winner,Name,Film
1980,53,Directing,,Tess ,Roman Polanski
1980,53,Documentary (Feature),,Agee ,"Ross Spears, Producer"
1980,53,Documentary (Feature),,The Day after Trinity ,"Jon Else, Producer"
1980,53,Documentary (Feature),1,From Mao to Mozart: Isaac Stern in China ,"Murray Lerner, Producer"
1980,53,Documentary (Feature),,Front Line ,"David Bradbury, Producer"
1980,53,Documentary (Feature),,The Yellow Star - The Persecution of the Jews in Europe 1933-45 ,"Bengt von zur Muehlen and Arthur Cohn, Producers"
1980,53,Documentary (Short Subject),,Don't Mess with Bill ,"John Watson and Pen Densham, Producers"
1980,53,Documentary (Short Subject),,The Eruption of Mount St. Helens ,"George Casey, Producer"
1980,53,Documentary (Short Subject),,It's the Same World ,"Dick Young, Producer"
1980,53,Documentary (Short Subject),1,Karl Hess: Toward Liberty ,"Roland Hallé and Peter W. Ladue, Producers"
1980,53,Documentary (Short Subject),,Luther Metke at 94 ,"Richard Hawkins and Jorge Preloran, Producers"
1980,53,Film Editing,,Coal Miner's Daughter ,Arthur Schmidt
1980,53,Film Editing,,The Competition ,David Blewitt
1980,53,Film Editing,,The Elephant Man ,Anne V. Coates
1980,53,Film Editing,,Fame ,Gerry Hambling
1980,53,Film Editing,1,Raging Bull ,Thelma Schoonmaker
1980,53,Foreign Language Film,,Confidence ,Hungary
1980,53,Foreign Language Film,,Kagemusha (The Shadow Warrior) ,Japan
1980,53,Foreign Language Film,,The Last Metro ,France
1980,53,Foreign Language Film,1,Moscow Does Not Believe in Tears ,Union of Soviet Socialist Republics
1980,53,Foreign Language Film,,The Nest ,Spain
1980,53,Music (Original Score),,Altered States ,John Corigliano
1980,53,Music (Original Score),,The Elephant Man ,John Morris
1980,53,Music (Original Score),,The Empire Strikes Back ,John Williams
1980,53,Music (Original Score),1,Fame ,Michael Gore
1980,53,Music (Original Score),,Tess ,Philippe Sarde
1980,53,Music (Original Song),1,"""Fame"" from Fame",Music by Michael Gore; Lyric by Dean Pitchford
1980,53,Music (Original Song),,"""Nine To Five"" from Nine to Five",Music and Lyric by Dolly Parton
1980,53,Music (Original Song),,"""On The Road Again"" from Honeysuckle Rose",Music and Lyric by Willie Nelson
1980,53,Music (Original Song),,"""Out Here On My Own"" from Fame",Music by Michael Gore; Lyric by Lesley Gore
1980,53,Music (Original Song),,"""People Alone"" from The Competition",Music by Lalo Schifrin; Lyric by Wilbur Jennings
1980,53,Best Picture,,Coal Miner's Daughter ,"Bernard Schwartz, Producer"
1980,53,Best Picture,,The Elephant Man ,"Jonathan Sanger, Producer"
1980,53,Best Picture,1,Ordinary People ,"Ronald L. Schwary, Producer"
1980,53,Best Picture,,Raging Bull ,"Irwin Winkler and Robert Chartoff, Producers"
1980,53,Best Picture,,Tess ,"Claude Berri, Producer; Timothy Burrill, Co-Producer"
1980,53,Short Film (Animated),,All Nothing ,"Frédéric Back, Producer"
1980,53,Short Film (Animated),1,The Fly ,"Ferenc Rofusz, Producer"
1980,53,Short Film (Animated),,History of the World in Three Minutes Flat ,"Michael Mills, Producer"
1980,53,Short Film (Dramatic Live Action),1,The Dollar Bottom ,"Lloyd Phillips, Producer"
1980,53,Short Film (Dramatic Live Action),,Fall Line ,"Bob Carmichael and Greg Lowe, Producers"
1980,53,Short Film (Dramatic Live Action),,A Jury of Her Peers ,"Sally Heckel, Producer"
1980,53,Sound,,Altered States ,"Arthur Piantadosi, Les Fresholtz, Michael Minkler, Willie D. Burton"
1980,53,Sound,,Coal Miner's Daughter ,"Richard Portman, Roger Heman, Jim Alexander"
1980,53,Sound,1,The Empire Strikes Back ,"Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton"
1980,53,Sound,,Fame ,"Michael J. Kohut, Aaron Rochin, Jay M. Harding, Chris Newman"
1980,53,Sound,,Raging Bull ,"Donald O. Mitchell, Bill Nicholson, David J. Kimball, Les Lazarowitz"
1980,53,Writing (Screenplay Based on Material from Another Medium),,Breaker Morant ,"Jonathan Hardy, David Stevens, Bruce Beresford"
1980,53,Writing (Screenplay Based on Material from Another Medium),,Coal Miner's Daughter ,Tom Rickman
1980,53,Writing (Screenplay Based on Material from Another Medium),,The Elephant Man ,"Christopher DeVore, Eric Bergren, David Lynch"
1980,53,Writing (Screenplay Based on Material from Another Medium),1,Ordinary People ,Alvin Sargent
1980,53,Writing (Screenplay Based on Material from Another Medium),,The Stunt Man ,Screenplay by Lawrence B. Marcus; Adaptation by Richard Rush
1980,53,Writing (Screenplay Written Directly for the Screen),,Brubaker ,"Screenplay by W. D. Richter; Story by W. D. Richter, Arthur Ross"
1980,53,Writing (Screenplay Written Directly for the Screen),,Fame ,Christopher Gore
1980,53,Writing (Screenplay Written Directly for the Screen),1,Melvin and Howard ,Bo Goldman
1980,53,Writing (Screenplay Written Directly for the Screen),,Mon Oncle D'Amerique ,Jean Gruault
1980,53,Writing (Screenplay Written Directly for the Screen),,Private Benjamin ,"Nancy Meyers, Charles Shyer, Harvey Miller"
1980,53,Special Achievement Award (Visual Effects),1,The Empire Strikes Back ,"Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson"
1980,53,Honorary Award,1,Henry Fonda,
1980,53,Medal of Commendation,1,Fred Hynes,
1981,54,Actor in a Leading Role,,Warren Beatty,Reds
1981,54,Actor in a Leading Role,1,Henry Fonda,On Golden Pond
1981,54,Actor in a Leading Role,,Burt Lancaster,Atlantic City
1981,54,Actor in a Leading Role,,Dudley Moore,Arthur
1981,54,Actor in a Leading Role,,Paul Newman,Absence of Malice
1981,54,Actor in a Supporting Role,,James Coco,Only When I Laugh
1981,54,Actor in a Supporting Role,1,John Gielgud,Arthur
1981,54,Actor in a Supporting Role,,Ian Holm,Chariots of Fire
1981,54,Actor in a Supporting Role,,Jack Nicholson,Reds
1981,54,Actor in a Supporting Role,,"Howard E. Rollins, Jr.",Ragtime
1981,54,Actress in a Leading Role,1,Katharine Hepburn,On Golden Pond
1981,54,Actress in a Leading Role,,Diane Keaton,Reds
1981,54,Actress in a Leading Role,,Marsha Mason,Only When I Laugh
1981,54,Actress in a Leading Role,,Susan Sarandon,Atlantic City
1981,54,Actress in a Leading Role,,Meryl Streep,The French Lieutenant's Woman
1981,54,Actress in a Supporting Role,,Melinda Dillon,Absence of Malice
1981,54,Actress in a Supporting Role,,Jane Fonda,On Golden Pond
1981,54,Actress in a Supporting Role,,Joan Hackett,Only When I Laugh
1981,54,Actress in a Supporting Role,,Elizabeth McGovern,Ragtime
1981,54,Actress in a Supporting Role,1,Maureen Stapleton,Reds
1981,54,Art Direction,,The French Lieutenant's Woman ,Art Direction: Assheton Gorton; Set Decoration: Ann Mollo
1981,54,Art Direction,,Heaven's Gate ,Art Direction: Tambi Larsen; Set Decoration: Jim Berkey
1981,54,Art Direction,,Ragtime ,"Art Direction: John Graysmark, Patrizia Von Brandenstein, Anthony Reading; Set Decoration: George de Titta, Sr., George de Titta, Jr., Peter Howitt"
1981,54,Art Direction,1,Raiders of the Lost Ark ,"Art Direction: Norman Reynolds, Leslie Dilley; Set Decoration: Michael Ford"
1981,54,Art Direction,,Reds ,Art Direction: Richard Sylbert; Set Decoration: Michael Seirton
1981,54,Cinematography,,Excalibur ,Alex Thomson
1981,54,Cinematography,,On Golden Pond ,Billy Williams
1981,54,Cinematography,,Ragtime ,Miroslav Ondricek
1981,54,Cinematography,,Raiders of the Lost Ark ,Douglas Slocombe
1981,54,Cinematography,1,Reds ,Vittorio Storaro
1981,54,Costume Design,1,Chariots of Fire ,Milena Canonero
1981,54,Costume Design,,The French Lieutenant's Woman ,Tom Rand
1981,54,Costume Design,,Pennies from Heaven ,Bob Mackie
1981,54,Costume Design,,Ragtime ,Anna Hill Johnstone
1981,54,Costume Design,,Reds ,Shirley Russell
1981,54,Directing,,Atlantic City ,Louis Malle
1981,54,Directing,,Chariots of Fire ,Hugh Hudson
1981,54,Directing,,On Golden Pond ,Mark Rydell
1981,54,Directing,,Raiders of the Lost Ark ,Steven Spielberg
1981,54,Directing,1,Reds ,Warren Beatty
1981,54,Documentary (Feature),,Against Wind and Tide: A Cuban Odyssey ,"Suzanne Bauman, Paul Neshamkin and Jim Burroughs, Producers"
1981,54,Documentary (Feature),,Brooklyn Bridge ,"Ken Burns, Producer"
1981,54,Documentary (Feature),,Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott ,"Mary Benjamin, Susanne Simpson and Boyd Estus, Producers"
1981,54,Documentary (Feature),,El Salvador: Another Vietnam ,"Glenn Silber and Tete Vasconcellos, Producers"
1981,54,Documentary (Feature),1,Genocide ,"Arnold Schwartzman and Rabbi Marvin Hier, Producers"
1981,54,Documentary (Short Subject),,Americas in Transition ,"Obie Benz, Producer"
1981,54,Documentary (Short Subject),1,Close Harmony ,"Nigel Noble, Producer"
1981,54,Documentary (Short Subject),,Journey for Survival ,"Dick Young, Producer"
1981,54,Documentary (Short Subject),,See What I Say ,"Linda Chapman, Pam LeBlanc and Freddi Stevens, Producers"
1981,54,Documentary (Short Subject),,Urge to Build ,"Roland Hallé and John Hoover, Producers"
1981,54,Film Editing,,Chariots of Fire ,Terry Rawlings
1981,54,Film Editing,,The French Lieutenant's Woman ,John Bloom
1981,54,Film Editing,,On Golden Pond ,Robert L. Wolfe
1981,54,Film Editing,1,Raiders of the Lost Ark ,Michael Kahn
1981,54,Film Editing,,Reds ,"Dede Allen, Craig McKay"
1981,54,Foreign Language Film,,The Boat Is Full ,Switzerland
1981,54,Foreign Language Film,,Man of Iron ,Poland
1981,54,Foreign Language Film,1,Mephisto ,Hungary
1981,54,Foreign Language Film,,Muddy River ,Japan
1981,54,Foreign Language Film,,Three Brothers ,Italy
1981,54,Makeup,1,An American Werewolf in London ,Rick Baker
1981,54,Makeup,,Heartbeeps ,Stan Winston
1981,54,Music (Original Score),1,Chariots of Fire ,Vangelis
1981,54,Music (Original Score),,Dragonslayer ,Alex North
1981,54,Music (Original Score),,On Golden Pond ,Dave Grusin
1981,54,Music (Original Score),,Ragtime ,Randy Newman
1981,54,Music (Original Score),,Raiders of the Lost Ark ,John Williams
1981,54,Music (Original Song),1,"""Arthur's Theme (Best That You Can Do)"" from Arthur","Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen"
1981,54,Music (Original Song),,"""Endless Love"" from Endless Love",Music and Lyric by Lionel Richie
1981,54,Music (Original Song),,"""The First Time It Happens"" from The Great Muppet Caper",Music and Lyric by Joe Raposo
1981,54,Music (Original Song),,"""For Your Eyes Only"" from For Your Eyes Only",Music by Bill Conti; Lyric by Mick Leeson
1981,54,Music (Original Song),,"""One More Hour"" from Ragtime",Music and Lyric by Randy Newman
1981,54,Best Picture,,Atlantic City ,"Denis Heroux and John Kemeny, Producers"
1981,54,Best Picture,1,Chariots of Fire ,"David Puttnam, Producer"
1981,54,Best Picture,,On Golden Pond ,"Bruce Gilbert, Producer"
1981,54,Best Picture,,Raiders of the Lost Ark ,"Frank Marshall, Producer"
1981,54,Best Picture,,Reds ,"Warren Beatty, Producer"
1981,54,Short Film (Animated),1,Crac ,"Frédéric Back, Producer"
1981,54,Short Film (Animated),,The Creation ,"Will Vinton, Producer"
1981,54,Short Film (Animated),,The Tender Tale of Cinderella Penguin ,"Janet Perlman, Producer"
1981,54,Short Film (Live Action),,Couples and Robbers ,"Christine Oestreicher, Producer"
1981,54,Short Film (Live Action),,First Winter ,"John N. Smith, Producer"
1981,54,Short Film (Live Action),1,Violet ,"Paul Kemp and Shelley Levinson, Producers"
1981,54,Sound,,On Golden Pond ,"Richard Portman, David Ronne"
1981,54,Sound,,Outland ,"John K. Wilkinson, Robert W. Glass, Jr., Robert M. Thirlwell, Robin Gregory"
1981,54,Sound,,Pennies from Heaven ,"Michael J. Kohut, Jay M. Harding, Richard Tyler, Al Overton"
1981,54,Sound,1,Raiders of the Lost Ark ,"Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman"
1981,54,Sound,,Reds ,"Dick Vorisek, Tom Fleischman, Simon Kaye"
1981,54,Visual Effects,,Dragonslayer ,"Dennis Muren, Phil Tippett, Ken Ralston, Brian Johnson"
1981,54,Visual Effects,1,Raiders of the Lost Ark ,"Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston"
1981,54,Writing (Screenplay Based on Material from Another Medium),,The French Lieutenant's Woman ,Harold Pinter
1981,54,Writing (Screenplay Based on Material from Another Medium),1,On Golden Pond ,Ernest Thompson
1981,54,Writing (Screenplay Based on Material from Another Medium),,Pennies from Heaven ,Dennis Potter
1981,54,Writing (Screenplay Based on Material from Another Medium),,Prince of the City ,"Jay Presson Allen, Sidney Lumet"
1981,54,Writing (Screenplay Based on Material from Another Medium),,Ragtime ,Michael Weller
1981,54,Writing (Screenplay Written Directly for the Screen),,Absence of Malice ,Kurt Luedtke
1981,54,Writing (Screenplay Written Directly for the Screen),,Arthur ,Steve Gordon
1981,54,Writing (Screenplay Written Directly for the Screen),,Atlantic City ,John Guare
1981,54,Writing (Screenplay Written Directly for the Screen),1,Chariots of Fire ,Colin Welland
1981,54,Writing (Screenplay Written Directly for the Screen),,Reds ,"Warren Beatty, Trevor Griffiths"
1981,54,Special Achievement Award (Sound Effects Editing),1,Raiders of the Lost Ark ,"Ben Burtt, Richard L. Anderson"
1981,54,Jean Hersholt Humanitarian Award,1,Danny Kaye,
1981,54,Honorary Award,1,Barbara Stanwyck,
1981,54,Irving G. Thalberg Memorial Award,1,Albert R. Broccoli,
1981,54,Gordon E. Sawyer Award,1,Joseph B. Walker,
1982,55,Actor in a Leading Role,,Dustin Hoffman,Tootsie
1982,55,Actor in a Leading Role,1,Ben Kingsley,Gandhi
1982,55,Actor in a Leading Role,,Jack Lemmon,Missing
1982,55,Actor in a Leading Role,,Paul Newman,The Verdict
1982,55,Actor in a Leading Role,,Peter O'Toole,My Favorite Year
1982,55,Actor in a Supporting Role,,Charles Durning,The Best Little Whorehouse in Texas
1982,55,Actor in a Supporting Role,1,"Louis Gossett, Jr.",An Officer and a Gentleman
1982,55,Actor in a Supporting Role,,John Lithgow,The World According to Garp
1982,55,Actor in a Supporting Role,,James Mason,The Verdict
1982,55,Actor in a Supporting Role,,Robert Preston,Victor/Victoria
1982,55,Actress in a Leading Role,,Julie Andrews,Victor/Victoria
1982,55,Actress in a Leading Role,,Jessica Lange,Frances
1982,55,Actress in a Leading Role,,Sissy Spacek,Missing
1982,55,Actress in a Leading Role,1,Meryl Streep,Sophie's Choice
1982,55,Actress in a Leading Role,,Debra Winger,An Officer and a Gentleman
1982,55,Actress in a Supporting Role,,Glenn Close,The World According to Garp
1982,55,Actress in a Supporting Role,,Teri Garr,Tootsie
1982,55,Actress in a Supporting Role,1,Jessica Lange,Tootsie
1982,55,Actress in a Supporting Role,,Kim Stanley,Frances
1982,55,Actress in a Supporting Role,,Lesley Ann Warren,Victor/Victoria
1982,55,Art Direction,,Annie ,Art Direction: Dale Hennesy; Set Decoration: Marvin March
1982,55,Art Direction,,Blade Runner ,"Art Direction: Lawrence G. Paull, David L. Snyder; Set Decoration: Linda DeScenna"
1982,55,Art Direction,1,Gandhi ,"Art Direction: Stuart Craig, Bob Laing; Set Decoration: Michael Seirton"
1982,55,Art Direction,,La Traviata ,Art Direction: Franco Zeffirelli; Set Decoration: Gianni Quaranta
1982,55,Art Direction,,Victor/Victoria ,"Art Direction: Rodger Maus, Tim Hutchinson, William Craig Smith; Set Decoration: Harry Cordwell"
1982,55,Cinematography,,Das Boot ,Jost Vacano
1982,55,Cinematography,,E.T. The Extra-Terrestrial ,Allen Daviau
1982,55,Cinematography,1,Gandhi ,"Billy Williams, Ronnie Taylor"
1982,55,Cinematography,,Sophie's Choice ,Nestor Almendros
1982,55,Cinematography,,Tootsie ,Owen Roizman
1982,55,Costume Design,1,Gandhi ,"John Mollo, Bhanu Athaiya"
1982,55,Costume Design,,La Traviata ,Piero Tosi
1982,55,Costume Design,,Sophie's Choice ,Albert Wolsky
1982,55,Costume Design,,Tron ,"Elois Jenssen, Rosanna Norton"
1982,55,Costume Design,,Victor/Victoria ,Patricia Norris
1982,55,Directing,,Das Boot ,Wolfgang Petersen
1982,55,Directing,,E.T. The Extra-Terrestrial ,Steven Spielberg
1982,55,Directing,1,Gandhi ,Richard Attenborough
1982,55,Directing,,Tootsie ,Sydney Pollack
1982,55,Directing,,The Verdict ,Sidney Lumet
1982,55,Documentary (Feature),,After the Axe ,"Sturla Gunnarsson and Steve Lucas, Producers"
1982,55,Documentary (Feature),,Ben's Mill ,"John Karol and Michel Chalufour, Producers"
1982,55,Documentary (Feature),,In Our Water ,"Meg Switzgable, Producer"
1982,55,Documentary (Feature),1,Just Another Missing Kid ,"John Zaritsky, Producer"
1982,55,Documentary (Feature),,A Portrait of Giselle ,"Joseph Wishy, Producer"
1982,55,Documentary (Short Subject),,Gods of Metal ,"Robert Richter, Producer"
1982,55,Documentary (Short Subject),1,If You Love This Planet ,"Edward Le Lorrain and Terri Nash, Producers"
1982,55,Documentary (Short Subject),,The Klan: A Legacy of Hate in America ,"Charles Guggenheim and Werner Schumann, Producers"
1982,55,Documentary (Short Subject),,To Live or Let Die ,"Freida Lee Mock, Producer"
1982,55,Documentary (Short Subject),,Traveling Hopefully ,"John G. Avildsen, Producer"
1982,55,Film Editing,,Das Boot ,Hannes Nikel
1982,55,Film Editing,,E.T. The Extra-Terrestrial ,Carol Littleton
1982,55,Film Editing,1,Gandhi ,John Bloom
1982,55,Film Editing,,An Officer and a Gentleman ,Peter Zinner
1982,55,Film Editing,,Tootsie ,"Fredric Steinkamp, William Steinkamp"
1982,55,Foreign Language Film,,Alsino and the Condor ,Nicaragua
1982,55,Foreign Language Film,,Coup de Torchon ('Clean Slate') ,France
1982,55,Foreign Language Film,,The Flight of the Eagle ,Sweden
1982,55,Foreign Language Film,,Private Life ,Union of Soviet Socialist Republics
1982,55,Foreign Language Film,1,Volver a Empezar ('To Begin Again') ,Spain
1982,55,Makeup,,Gandhi ,Tom Smith
1982,55,Makeup,1,Quest for Fire ,"Sarah Monzani, Michèle Burke"
1982,55,Music (Original Score),1,E.T. The Extra-Terrestrial ,John Williams
1982,55,Music (Original Score),,Gandhi ,"Ravi Shankar, George Fenton"
1982,55,Music (Original Score),,An Officer and a Gentleman ,Jack Nitzsche
1982,55,Music (Original Score),,Poltergeist ,Jerry Goldsmith
